sn,youtube_ID,date,title,speaker,affiliation,event,host
58,YA8e6rErZVY,2015-05-26,以雞肉絲菇為作物的黑翅土白蟻農業生態系,朱宇敏,植物暨微生物學研究所研究員,104年5月知識饗宴,陳建仁副院長
59,t95ZEdoRmRY,2015-04-21,分享實驗室發展之有趣分子及奈米基材,周必泰,國立臺灣大學化學系教授,104年4月知識饗宴,王瑜副院長
60,aPOfT_DFDtM,2015-03-24,古代臺灣人的故事,臧振華,院士,104年3月知識饗宴,王汎森副院長
61,xgBWSk3mp0g,2015-02-24,抗癌藥物研發的新挑戰—癌細胞與腫瘤微環境的共犯結構,陳慶士,生物化學研究所特聘研究員兼所長,104年2月知識饗宴,陳建仁副院長
62,Mk3BB9clAdQ,2015-01-20,臺灣的海洋探索：回顧與展望,戴昌鳳,國立臺灣大學海洋研究所教授,104年1月知識饗宴,王瑜副院長
63,l8He1hBOiKg,2014-12-30,懸崖上的考古－八千歲『亮島人』出土的故事,陳仲玉,歷史語言研究所兼任研究員,103年12月知識饗宴,王汎森副院長
64,L_zdqxPZavc,2014-10-28,月亮：地球的奇異小夥伴,趙丰特,地球科學研究所聘研究員,103年10月知識饗宴,王瑜副院長
65,3go6jiFKRRY,2014-09-30,臺灣的稅制:所得稅vs.消費稅,楊建成,經濟研究所特聘研究員,103年9月知識饗宴,王汎森副院長
66,66Juy7rPhtY,2014-08-26,氮肥的美麗與哀愁-談植物如何計算及記憶土壤的硝酸鹽含量,蔡宜芳,分子生物研究所研究員,103年8月知識饗宴,陳建仁副院長
67,-EHyPuY7r7Y,2014-07-29,我在中研院的第二個十年：多媒體研究與數位典藏,廖弘源,資訊科學研究所特聘研究員,103年7月知識饗宴,王瑜副院長
68,aND_WQoYTj4,2014-05-27,記憶、遺忘與失智症,李小媛,生物醫學科學研究所特聘研究員,103年5月知識饗宴,陳建仁副院長
69,mMX_tqItqDo,2014-04-29,奈米時代的醫學影像,胡宇光,物理研究所研究員,103年4月知識饗宴,王瑜副院長
70,IHcmGkzDZnE,2014-03-18,瘋媽祖：臺灣媽祖信仰的源流、發展與變遷,張珣,民族學研究所研究員兼副所長,103年3月知識饗宴,王瑜副院長
71,C7EsM8VaLVU,2014-02-25,生物技術與海洋生物資源永續發展,吳金洌,細胞與個體生物學研究所特聘研究員,103年2月知識饗宴,陳建仁副院長
72,7JMO2a5AwCY,2014-01-28,彩色世界─從傳統染整工藝到時尚光電科技,陳錦地,化學研究所研究員,103年1月知識饗宴,彭旭明副院長
73,OojmAyWYsdg,2013-12-24,中國女性的旅行經驗─從明清到民初,胡曉真,中國文哲研究所研究員兼所長,102年12月知識饗宴,王汎森副院長
74,Ks7ol1jM2_Y,2013-11-26,水底的聲、色世界：魚類的性、行為、生理與基因,嚴宏洋,細胞與個體生物學研究所研究員,102年11月知識饗宴,陳建仁副院長
75,fI3BfFuit1c,2013-10-29,越過西藏到伊朗，沿著絲路搞地質,鍾孫霖,臺灣大學地質科學系教授,102年10月知識饗宴,彭旭明副院長
76,EIO3_RqXe1E,2013-09-24,從認同到經濟？台灣政治競爭的軸線轉換,吳玉山,政治學研究所特聘研究員兼所長,102年9月知識饗宴,王汎森副院長
77,_n797uc6Vsw,2013-08-27,蛋白質生技及藥物研發,梁博煌,生物化學研究所研究員,102年8月知識饗宴,陳建仁副院長
78,AJVJOThfego,2013-07-30,用奈米光學科技幫我們聽來自細菌的『聲音』,王玉麟,原子與分子科學研究所特聘研究員,102年7月知識饗宴,彭旭明副院長
79,xfJSfm3cfjo,2013-06-18,西方世界興起與全球秩序重組,朱雲漢,院士,102年6月知識饗宴,彭旭明副院長
80,V1Zx-sSNfZw,2013-05-28,『醣』聞軼趣,洪上程,基因體研究中心特聘研究員,102年5月知識饗宴,陳建仁副院長
81,PD6WWGGtau8,2013-04-30,雲山浩蕩，雲海茫茫－雲的科學與它們在全球環境中的角色,王寳貫,環境變遷研究中心特聘研究員兼主任,102年4月知識饗宴,彭旭明副院長
82,BsFmNDmqibk,2013-03-26,東、南海主權與海洋權益爭端,宋燕輝,歐美研究所研究員,102年3月知識饗宴,陳建仁副院長
83,lRHyoSdA2-c,2013-02-26,世界糧食安全與危機：何從？何去？,余淑美,院士,102年2月知識饗宴,王汎森副院長
84,4zHSmrXeTl8,2013-01-29,芝麻開門─用聲音開啟知識寶藏的大門,李琳山,臺灣大學電機工程學系特聘教授,102年1月知識饗宴,彭旭明副院長
85,2CG1dhYtMqc,2012-12-25,中國第一部白話文聖經（1790-1808）,李奭學,中國文哲研究所研究員,101年12月知識饗宴,王汎森副院長
86,pRcOcFGZpus,2012-11-27,發炎反應與疾病－亦敵亦友的微妙關係,劉扶東,院士,101年11月知識饗宴,陳建仁副院長
87,qVsdBreF2Co,2012-10-23,大氣壓力游離質譜法：貼近生活的質譜技術,謝建台,中山大學化學系教授,101年10月知識饗宴,彭旭明副院長
88,J47d8JD0LuE,2012-09-25,侍從人員眼中的蔣中正先生,黃克武,近代史研究所研究員,101年9月知識饗宴,王汎森副院長
89,2Gnv8qMGMJA,2012-08-28,植物與環境的互動：從看見日出說起,吳素幸,植物暨微生物學研究所研究員,101年8月知識饗宴,彭旭明副院長
90,7VN4xjmjYtE,2012-07-31,颱風的史詩與科學間奏,吳俊傑,臺灣大學大氣科學系教授兼系主任,101年7月知識饗宴,王汎森副院長
91,M0O_Tq_veYE,2012-06-26,民主是普遍價值嗎?,蕭高彥,人文社會科學研究中心研究員,101年6月知識饗宴,王汎森副院長
92,tur6PmVcFTU,2012-05-01,能源與永續文明,陳竹亭,臺灣大學化學系教授,101年5月知識饗宴,彭旭明副院長
93,v9UuOVxZC44,2012-04-17,哥倫布對臺灣食物的影響,李遠川,院士,101年4月知識饗宴,王汎森副院長
94,_21Ls9RZvOI,2012-03-20,臺灣宗教變遷趨勢的分析,瞿海源,社會學研究所研究員,101年3月知識饗宴,王汎森副院長
95,VSaUEWFTUr0,2012-02-21,搶救豆腐腦─腦創傷25年的研究,邱文達,行政院衛生署署長,101年2月知識饗宴,陳建仁副院長
96,TaEv5rpJTNc,2012-01-31,奈米仿生材料,牟中原,臺灣大學化學系教授,101年1月知識饗宴,彭旭明副院長
97,MZkNe48wyv4,2011-12-27,民國傳承與臺灣戰後經濟發展,瞿宛文,人文社會科學研究中心研究員,100年12月份知識饗宴,王汎森副院長
98,2-HgpmjmZPU,2011-11-29,量身打造你的健康－21世紀的個人化醫學,沈志陽,生物醫學科學研究所研究員,100年11月份知識饗宴,陳建仁副院長
99,P5RdVDq-UYg,2011-10-25,台灣氣候變遷：衝擊、減緩、調適,劉紹臣,環境變遷研究中心特聘研究員,100年10月份知識饗宴,王汎森副院長
100,VtvuAClW21c,2011-09-27,資訊科技在教育之應用與研究,張國恩,國立台灣師範大學校長,100年9月份知識饗宴,王汎森副院長
101,ClW4xP2ZSLk,2011-08-30,綠色生物科技之展望,施明哲,農業生物科技研究中心特聘研究員,100年8月份知識饗宴,王惠鈞副院長
102,O6ZNHvraXDI,2011-07-26,"""碳""為觀止－奈米材料的最新發展",周美吟,原子與分子科學研究所特聘研究員,100年7月份知識饗宴,王汎森副院長
103,oXAk7KWPpkw,2011-06-28,自利與社會合作,陳東升,臺灣大學社會學系教授,100年6月份知識饗宴,王汎森副院長
104,eEp0ix6nENA,2011-05-17,病毒就在你身邊,張雯,分子生物研究所研究員,100年5月份知識饗宴,王惠鈞副院長
105,zZK_8chZ5KM,2011-04-26,上下古今人間世：天文、地球與中國古傳說的對話,趙丰,地球科學研究所特聘研究員,100年4月份知識饗宴,劉兆漢副院長
106,yDg2LZVDCw8,2011-03-29,臺灣海域的考古,臧振華,歷史語言研究所研究員,100年3月份知識饗宴,王惠鈞副院長
107,I5Xumsn7hH0,2011-02-22,"健康""藥""不""藥""？告訴您藥物研發的秘辛",林俊宏,生物化學研究所研究員,100年2月份知識饗宴,王惠鈞副院長
108,RwQb6rBXQZ8,2011-01-25,亂中有序：談基因科技資訊之統計數理分析,李克昭,統計科學研究所特聘研究員,100年1月份知識饗宴,劉兆漢副院長
